,Imperium,P-values,Legacy,P-values,Panfam,P-values,PAPI,P-values,Imperium Subcaps,P-values,PAPI Subcaps,P-values
const,4371.722349860355,0.0,3210.3097778670067,0.0,3516.098698838985,0.0,9580.233985594585,0.0,4140.94007693925,0.0,8670.415289801327,0.0
northern_conflict,552.9824741152589,0.3725,567.398335494593,0.0,254.23578333919613,0.4682,1742.809524274955,0.0,507.9919331476965,0.1738,1500.5483049554975,0.0
war_begins,1052.668981074678,0.0,245.97516485708852,0.1695,,,,,920.660063471423,0.0,,
fwst,975.5212677256555,0.0023,775.8514655632076,0.2621,955.3835490779402,0.2828,2054.074182556322,0.0968,737.4213800009932,0.0001,783.1123622977169,0.2688
m2,2003.956831612012,0.0,682.5072052348219,0.0,455.1407004801291,0.2145,1133.4109624399728,0.0221,1123.7217466830928,0.0001,770.118502122494,0.17
1dq_siege,478.7346774093398,0.252,-253.6599301475554,0.4694,-420.8382944618274,0.1392,-874.6994438144598,0.3154,481.23229323019825,0.055,-336.77611103028767,0.5698
ar.L1,0.677750540079456,0.0,0.7789700544010612,0.0,0.6853631568176941,0.0,0.7142063552283304,0.0,0.7524358936747838,0.0,0.7931135182434247,0.0
sigma2,158772.71240726963,0.0,53547.889712297176,0.0,88629.894132837,0.0,398250.4258681184,0.0,106884.51078556248,0.0,252722.61875802442,0.0
war_begins_panfam,,,,,528.3234924400577,0.0004,891.9183629815949,0.0151,,,866.0177301417076,0.001
